k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.5,0.9227987854438274,0.9728840850025349,0.094,0.918077832807406,0.9275660190177181,0.9706013797681524,0.9751832950173575,0.06695000000000001,0.12
3,2,0.5,0.9272431661357333,0.9685182405674736,0.054,0.9235129346598525,0.9306955737876198,0.9665698486806177,0.9704077920121706,0.038,0.072
4,2,0.5,0.9306930531089296,0.9655913723273675,0.038,0.9278686219054088,0.9334515632681966,0.9638338635739848,0.9674044395194418,0.022,0.058
5,2,0.5,0.9383142991298534,0.9630874984512227,0.02,0.9359807620621687,0.9402807426972946,0.9611756590769902,0.9649725263618322,0.008950000000000003,0.033049999999999954
