k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9877541461487563,0.9987660156445913,1.0,0.9871455064676329,0.9884455842423705,0.9986927472762719,0.9988358818456514,1.0,1.0
2,2,0.1,0.9794290115179828,0.9958804345905742,1.0,0.9781920174913833,0.980600655454164,0.9956556947254555,0.9960957408683436,1.0,1.0
2,2,0.15,0.9736941514317499,0.9921512169768526,1.0,0.9721566621512082,0.9750799349592236,0.9916845814774119,0.9925663862976268,1.0,1.0
2,2,0.2,0.9697602968320901,0.9880057336426152,1.0,0.9680413477500575,0.9714765773838497,0.987378895426822,0.9887081964116491,1.0,1.0
2,2,0.25,0.96708208048924,0.9837141401692395,1.0,0.9654301784483351,0.968972841348305,0.9827634609285045,0.9846606150423323,1.0,1.0
2,2,0.3,0.9652622164179254,0.9794788761080543,1.0,0.9631680670983181,0.9672398033687488,0.9782120614040037,0.9806339698841926,1.0,1.0
2,2,0.35,0.9641291962818259,0.9753019165079334,1.0,0.9620657323528019,0.9659424618720476,0.9739866756426345,0.976726746253003,1.0,1.0
2,2,0.4,0.9634076942529538,0.9713416208947848,1.0,0.9613170597208976,0.9654575672917439,0.9695544474463319,0.9729222054251236,1.0,1.0
2,2,0.45,0.9630476756460987,0.9675392417623976,1.0,0.9612012817002303,0.9651030031909015,0.9655564514141942,0.9694776350089677,1.0,1.0
2,2,0.5,0.9629774869057315,0.963895765984739,1.0,0.9608381798520229,0.9651263934607435,0.9617989194788359,0.9659555530133527,1.0,1.0
2,2,0.55,0.963048587520194,0.9604932979709369,1.0,0.9608341814502396,0.9650209273088466,0.9581282249022292,0.9626926893153378,1.0,1.0
2,2,0.6,0.9632322590660947,0.9573005320009995,1.0,0.9613006892864994,0.9653023014620776,0.9550089071618258,0.959860713796137,1.0,1.0
2,2,0.65,0.9635904440921368,0.9542255248271531,1.0,0.9613895924187663,0.9657634589843461,0.9517026409452242,0.9568083187781097,1.0,1.0
2,2,0.7,0.9640101658734116,0.9513376260024717,1.0,0.9618514975529422,0.9659810920361684,0.9483322174247091,0.9543722737112661,1.0,1.0
2,2,0.75,0.9644412133307002,0.9486481318588098,1.0,0.9621273852686202,0.9664614089398831,0.9457577824597493,0.9514318792548698,1.0,1.0
2,2,0.8,0.9649169922455768,0.9460943461781823,1.0,0.9627089636248218,0.966906049316762,0.943004487643121,0.9490424180965739,1.0,1.0
2,2,0.85,0.9654564003889873,0.943649708412199,1.0,0.9636140002275153,0.9673916177797033,0.9404948098301484,0.9465133248855492,1.0,1.0
2,2,0.9,0.9659305063554727,0.9414166893412198,1.0,0.9637190518064632,0.9677781618539556,0.9383669262825525,0.9448061316266191,1.0,1.0
2,2,0.95,0.9665553081650519,0.9391861839624187,1.0,0.9644533874366119,0.9683871122840392,0.9354707936412117,0.9426575597792706,1.0,1.0
2,2,1.0,0.9670495771751023,0.9371814000354068,1.0,0.9651798607739024,0.9689713551127251,0.9338134023219458,0.9404005699843144,1.0,1.0
