k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.5,0.9579675226319457,0.9590390640034161,1.0,0.9558950841678187,0.9601031896037469,0.9566319218359067,0.9611936514591367,1.0,1.0
3,2,0.5,0.9578427941098857,0.9586704568054403,1.0,0.9559640558666518,0.9598293025987698,0.9568572412994367,0.9605435490957656,1.0,1.0
4,2,0.5,0.9601736044243464,0.9607268641600835,1.0,0.9583465479575332,0.96160566148526,0.9591529781046632,0.9622287158068131,1.0,1.0
5,2,0.5,0.9583844605136266,0.9588031914574833,1.0,0.9569218273552,0.9598524096426864,0.9573531549831854,0.9602955995919424,1.0,1.0
6,2,0.5,0.9591287401048856,0.959455689934189,1.0,0.957891011549777,0.9603811077601426,0.9581053898628598,0.960647758458629,1.0,1.0
7,2,0.5,0.9593399216242176,0.9596279717746163,1.0,0.9582329454275504,0.9604638859914516,0.9585593742184556,0.960797108094177,1.0,1.0
8,2,0.5,0.9585026565086565,0.9587934065894108,1.0,0.9573105093764539,0.9598509477192988,0.957603209961749,0.9598822356432481,1.0,1.0
9,2,0.5,0.9578107703086112,0.958039009975651,1.0,0.9567071571279667,0.9589197240004551,0.9568457294327314,0.9592241272558608,1.0,1.0
10,2,0.5,0.9586982897900621,0.9589035901793362,1.0,0.9577315799334241,0.9598102004883026,0.9579111174608509,0.9599409967983495,1.0,1.0
