k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9867178811817877,0.9979158739682261,1.0,0.9860879456044357,0.9873325686914519,0.9978032977211144,0.998022291200556,1.0,1.0
2,2,0.1,0.9784846269081137,0.993287625259527,1.0,0.9772949772127957,0.9796348645428183,0.9929556147966728,0.9936344226458209,1.0,1.0
2,2,0.15,0.9733422747164027,0.9875449734886711,1.0,0.9717271502401575,0.9746768884878109,0.9868895387018751,0.9881760643666739,1.0,1.0
2,2,0.2,0.9701105289819684,0.9814913230532109,1.0,0.9684803428345908,0.9716960850779248,0.9803874421957441,0.9824635644521755,1.0,1.0
2,2,0.25,0.9681552497801843,0.9754457280526753,1.0,0.9663850243485427,0.9696879524314261,0.9740711460322057,0.9767135086262277,1.0,1.0
2,2,0.3,0.9670780618379331,0.9695663706649407,1.0,0.965293958158723,0.9687777530624456,0.9679256993448283,0.9711236480619295,1.0,1.0
2,2,0.35,0.9665739624439379,0.9639796532410456,1.0,0.9648674756275821,0.9682172123672675,0.9618653255794701,0.9657797736118549,1.0,1.0
2,2,0.4,0.9663685510395352,0.9588328071904045,1.0,0.9644003065121015,0.968011750008737,0.9567689596802449,0.9608177219128894,1.0,1.0
2,2,0.45,0.9664824177729409,0.9539678008430366,1.0,0.9647804957980008,0.9681761541416182,0.9514880252599619,0.9562451962694244,1.0,1.0
2,2,0.5,0.9667337391515286,0.9494890834836147,1.0,0.9648353568944693,0.9682203304291552,0.9469248282684445,0.9524950733410643,1.0,1.0
2,2,0.55,0.9672231403368854,0.9451758718221981,1.0,0.9653447686582688,0.9688858658319915,0.9422337363167805,0.9482159815847095,1.0,1.0
2,2,0.6,0.9677402115681745,0.9412197231593361,1.0,0.965989420674011,0.9694268721438889,0.9379457112993048,0.944219680100898,1.0,1.0
2,2,0.65,0.9683022460859211,0.9375601526447584,1.0,0.9666902112069932,0.9700701786481771,0.9345250672378059,0.9406841938454407,1.0,1.0
2,2,0.7,0.9689127033522077,0.9341237185592176,1.0,0.9672617119472664,0.9705304240909671,0.9306157406328681,0.9377052070592341,1.0,1.0
2,2,0.75,0.9695049255776332,0.930963662004594,1.0,0.9678196865876698,0.9712884631471158,0.9273976408762747,0.9345379879453294,1.0,1.0
2,2,0.8,0.9700793667148002,0.928022310073816,1.0,0.9685248109329898,0.9716784910630942,0.9242015502243375,0.9317671377580242,1.0,1.0
2,2,0.85,0.9708172624249741,0.9250706115820572,1.0,0.9690511472410807,0.9722943922536931,0.9211616343782333,0.9292137181015581,1.0,1.0
2,2,0.9,0.9713586971928919,0.922547914461632,1.0,0.9698361321999828,0.9729271311440216,0.9182347194234144,0.9270481667572981,1.0,1.0
2,2,0.95,0.9718625543433682,0.9201828209453843,1.0,0.9702880889357984,0.9733879555689879,0.9158627918904004,0.9244306135967532,1.0,1.0
2,2,1.0,0.9725681775373373,0.9177701850510275,1.0,0.971021747718925,0.9740547339823324,0.9131589954190376,0.9224065514839883,1.0,1.0
