k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9869186801619114,0.9976562356403419,1.0,0.9862184563765418,0.9875266543503345,0.9975294609418403,0.9977713870179233,1.0,1.0
2,2,0.1,0.9790550039159188,0.9925541937632372,1.0,0.9779594071374441,0.9801299533575998,0.9921694700860169,0.9929363053902058,1.0,1.0
2,2,0.15,0.9742886945516873,0.9863317265209478,1.0,0.9728118401532785,0.9755738183850855,0.9855975844460998,0.9870393548633591,1.0,1.0
2,2,0.2,0.9714187165323905,0.9798196171419576,1.0,0.9698880903710848,0.9729488010505805,0.9787248422935234,0.9809633566260887,1.0,1.0
2,2,0.25,0.9697525774828721,0.9734159352058046,1.0,0.968238506278928,0.9713379867101356,0.9720541328235829,0.9747389533208434,1.0,1.0
2,2,0.3,0.9689019535285005,0.9672514906638803,1.0,0.9672100504656622,0.9705123868058886,0.9656934390411573,0.9688010138758972,1.0,1.0
2,2,0.35,0.9685795476619882,0.961439745961271,1.0,0.9669406527126573,0.9700918024832246,0.9591755187325892,0.9636194645846646,1.0,1.0
2,2,0.4,0.9686015841089127,0.9560128341239599,1.0,0.9669725103110827,0.9702068307083406,0.9534560048281646,0.958248078254304,1.0,1.0
2,2,0.45,0.9688205460905314,0.9510197812568675,1.0,0.9671851982577562,0.9704557007927713,0.9480410412600232,0.9536995246267381,1.0,1.0
2,2,0.5,0.969214417869975,0.9463701349898775,1.0,0.9676188489810698,0.9710217686141132,0.9434270106978476,0.9493076288143262,1.0,1.0
2,2,0.55,0.9696693641695532,0.9420976603709728,1.0,0.9680919414942726,0.9711691886430865,0.9388049135458549,0.9452366832617435,1.0,1.0
2,2,0.6,0.9702671115849976,0.9380415648132527,1.0,0.9685764075207322,0.9718875440478268,0.9344053311033697,0.9415136438913523,1.0,1.0
2,2,0.65,0.9709505906894927,0.9342128552734805,1.0,0.9694211059896983,0.9724770774639051,0.9306179034559504,0.9374544515628729,1.0,1.0
2,2,0.7,0.9716092735962291,0.930729438534346,1.0,0.970024279388894,0.9731479436157403,0.9267573143247957,0.9345074340107471,1.0,1.0
2,2,0.75,0.9721823606558181,0.9275754763356552,1.0,0.9706472413951883,0.9735551401958107,0.9234669926565217,0.931413693838963,1.0,1.0
2,2,0.8,0.9728530892073105,0.9245114095365491,1.0,0.9714162313875969,0.9741254061041336,0.9204927002539274,0.9287457493647941,1.0,1.0
2,2,0.85,0.9734408655299955,0.9217638448283755,1.0,0.9721427596921388,0.9748148933367896,0.917517603140335,0.9257062683722651,1.0,1.0
2,2,0.9,0.9740647501045294,0.9191237409292596,1.0,0.9726192007516445,0.9753773013032307,0.9151599159556986,0.9231519572942648,1.0,1.0
2,2,0.95,0.9746516995529318,0.9166708742547043,1.0,0.9734916889241344,0.9758180276735408,0.9122351362327608,0.9215924899233995,1.0,1.0
2,2,1.0,0.975294295176253,0.914319618896541,1.0,0.9739983392535715,0.9764993848591101,0.9098358367243836,0.9187528388790873,1.0,1.0
